Cl_pop,1,-0.0255236,-0.0351444,0.0747438,0.0053471,0.00414709,-0.0689859,-0.0408701,0.0411838,-0.00853205
V1_pop,-0.0255236,1,-0.125113,-0.385251,-0.0100056,-0.0690991,0.320195,0.130526,-0.143141,0.136585
Q_pop,-0.0351444,-0.125113,1,-0.277203,-0.00785061,0.0283999,0.454885,0.40926,-0.0785142,0.015601
V2_pop,0.0747438,-0.385251,-0.277203,1,0.0495227,0.125551,-0.863984,-0.513526,0.275219,-0.186287
omega_Cl,0.0053471,-0.0100056,-0.00785061,0.0495227,1,0.00793698,-0.0350271,-0.00360239,0.0176912,-0.0176754
omega_V1,0.00414709,-0.0690991,0.0283999,0.125551,0.00793698,1,-0.124024,-0.0628412,0.0625747,-0.0634801
omega_Q,-0.0689859,0.320195,0.454885,-0.863984,-0.0350271,-0.124024,1,0.578418,-0.320989,0.224586
omega_V2,-0.0408701,0.130526,0.40926,-0.513526,-0.00360239,-0.0628412,0.578418,1,-0.170886,0.0598102
a1,0.0411838,-0.143141,-0.0785142,0.275219,0.0176912,0.0625747,-0.320989,-0.170886,1,-0.685433
b1,-0.00853205,0.136585,0.015601,-0.186287,-0.0176754,-0.0634801,0.224586,0.0598102,-0.685433,1
